FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,UniqueID
UMMZ.143651.lesc.ba.f.00000003,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,back,0,0,0,0,3,,87
UMMZ.143651.lesc.ch.f.00000001,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,breast,0,0,0,0,1,,88
UMMZ.143651.lesc.ch.f.00000002,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,breast,0,0,0,0,2,,89
UMMZ.143651.lesc.ch.f.00000003,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,breast,0,0,0,0,3,,90
UMMZ.143651.lesc.cn.f.00000001,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,throat,0,0,0,0,1,,91
UMMZ.143651.lesc.cn.f.00000002,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,throat,0,0,0,0,2,,92
UMMZ.143651.lesc.cn.f.00000003,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,throat,0,0,0,0,3,,93
UMMZ.143651.lesc.cr.f.00000001,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,crown,0,0,0,0,1,,94
UMMZ.143651.lesc.cr.f.00000002,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,crown,0,0,0,0,2,,95
UMMZ.143651.lesc.cr.f.00000003,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,crown,0,0,0,0,3,,96
UMMZ.143651.lesc.fo.f.00000001,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,forehead,0,0,0,0,1,,97
UMMZ.143651.lesc.fo.f.00000002,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,forehead,0,0,0,0,2,,98
UMMZ.143651.lesc.fo.f.00000003,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,forehead,0,0,0,0,3,,99
UMMZ.143651.lesc.nb.f.00000001,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,throat band,0,0,0,0,1,,100
UMMZ.143651.lesc.nb.f.00000002,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,throat band,0,0,0,0,2,,101
UMMZ.143651.lesc.nb.f.00000003,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,throat band,0,0,0,0,3,,102
